"NGA","PostRate","PreRate","PostConfInt","PreConfInt","p","df","n","t","PreMGRitual","PreMGWriting","RangeMGAppear","RangeDMAppear","RangeWRAppear","MGAppear","Difference"
"Deccan",-0.44113988350625,1.13950121346371,0.610209386029698,0.605702394496738,0.000992925768735316,33.9981315888087,18,-3.60329060229081,-2400,0,94,1499,94,-300,-1.58064109696996
"Kachi Plain",-0.0770631449026292,0.958275208723323,0.0248303198391682,0.568970511667419,0.00206540911519062,19.0723714262782,20,-3.56316101293214,-2000,-2000,221,399,399,-500,-1.03533835362595
"Kansai",0.127779830667193,0.990233335006209,0.0650099658697538,0.246104633549269,8.94762733804402e-05,9.11104289197596,9,-6.6408715931141,-900,-200,172,549,287,600,-0.862453504339016
"Konya Plain",0.0748213431784853,0.34080515849126,0.0448278144307706,0.0691008577465402,3.87940288022269e-07,32.5860366453729,20,-6.32926955243349,-4400,-400,149,499,300,-1600,-0.265983815312775
"Latium",0.262530763870353,0.518633786980529,0.0908786121445671,0.133824693621543,0.00387964833430848,33.4508240016745,20,-3.10302842130387,-200,-200,244,206,206,-500,-0.256103023110176
"Middle Yellow River Valley",0.0841399011398714,0.179823637610222,0.0355410714011294,0.0249794481424754,0.000128813784598586,34.0891246143629,20,-4.31709961765165,-700,-100,327,199,127,-1100,-0.0956837364703506
"Niger Inland Delta",0.0788837861874229,1.135810525833,0.0629074541200526,0.351123175662895,0.000917871337950917,6.38478598323817,7,-5.80738849689246,-100,0,102,77,102,1100,-1.05692673964558
"Orkhon Valley",0.271141459968807,0.305173476701593,0.125088649016478,0.134796191874916,0.719760161160582,25.8560974012842,14,-0.362722954841849,0,0,251,251,251,500,-0.034032016732786
"Paris Basin",0.636619300120347,0.356150610570091,0.454113198911384,0.0608117759445643,0.247079608557836,16.5736638221842,17,1.19982190385002,0,-200,147,147,149,-100,0.280468689550256
"Sogdiana",-0.131996286793259,1.10993712940883,0.0651217864589811,0.579463947466483,0.000491093226455293,19.4798594992355,20,-4.17448198218805,0,0,190,190,190,-500,-1.24193341620209
"Susiana",0.00890426931124918,0.219744456958275,0.0291480900709064,0.0474181858906452,2.06808826279925e-08,31.5647004531963,20,-7.42441200660984,-2100,-1600,137,499,699,-2200,-0.210840187647026
"Upper Egypt",0.142478675825016,0.322998757980722,0.0441310432484064,0.0827110785414377,0.00108662611386465,21.3735324029266,15,-3.77415713766259,-400,-400,249,199,199,-2900,-0.180520082155706
